user_id,interval_between_bookings,not_book_interval,rank
109863,18,18,B
110009,83,83,B
110205,267,267,C
110398,31,31,B
110448,NULL,234,C
110515,103,103,B
110672,14,14,B
110702,0,0,A
110787,57,57,C
110851,2,2,B
110871,NULL,100,C
111058,NULL,317,C
111235,NULL,267,C
111362,75,75,C
111390,NULL,156,C
111512,NULL,121,B
111563,59,59,B
111714,15,15,C
112185,NULL,148,B
112319,NULL,244,C
112460,189,189,B
112577,NULL,224,C
112663,13,13,A
112684,NULL,116,B
112718,NULL,26,B
112758,NULL,71,B
112835,NULL,150,C
112855,18,18,B
112999,74,74,C
113094,55,55,B
113115,13,13,AA
113343,NULL,76,C
113364,7,7,B
113670,NULL,260,C
113690,NULL,233,C
113763,180,180,B
113898,64,64,B
113913,28,28,C
114331,3,3,A
114425,NULL,78,B
114542,4,4,A
114665,NULL,24,C
114903,NULL,107,B
115010,NULL,192,C
115224,45,45,B
115227,NULL,241,C
115699,11,11,C
115837,93,93,C
115913,9,9,B
115965,NULL,200,C
116560,NULL,152,C
116772,NULL,53,B
116888,120,120,C
116919,36,36,B
116948,70,70,C
117254,NULL,114,C
117272,NULL,215,C
117452,79,79,A
117497,NULL,112,C
117642,NULL,222,C
117667,NULL,54,C
117774,NULL,258,C
117775,6,6,A
117779,NULL,85,B
117811,NULL,232,C
117865,NULL,91,B
117995,94,94,C
118003,41,41,B
118043,NULL,53,B
118104,0,0,AA
118108,NULL,147,C
118135,52,52,A
118163,56,56,B
118172,NULL,2,C
118413,48,48,C
118519,13,13,B
118985,31,31,C
119084,NULL,93,B
119107,8,8,A
119169,NULL,324,C
119234,31,31,AA
119251,NULL,11,B
119267,NULL,219,C
119314,0,0,AA
119407,25,25,B
119434,6,6,A
119508,NULL,205,C
119570,193,193,B
119913,NULL,16,B
119946,11,11,AA
119985,NULL,4,B
120011,69,69,C
120296,NULL,94,C
120376,NULL,101,C
120482,NULL,197,C
120498,31,31,B
120657,6,6,B
120759,NULL,85,B
120927,0,0,A
120985,34,34,A
121094,NULL,226,C
121189,NULL,61,B
121205,4,4,A
121257,NULL,213,C
121258,63,63,B
121329,NULL,12,B
121466,NULL,71,C
121575,7,7,A
121651,NULL,233,C
121654,49,49,B
121662,NULL,89,C
121726,NULL,102,C
121805,NULL,9,B
121818,NULL,68,B
121824,NULL,305,C
121958,62,62,B
122111,28,28,B
122183,89,89,B
122233,9,9,B
122268,50,50,A
122329,29,29,B
122341,34,34,C
122495,NULL,34,B
122670,NULL,93,C
122827,NULL,29,C
122872,NULL,282,C
123034,NULL,51,C
123300,NULL,58,B
123303,NULL,143,C
123340,52,52,B
123361,21,21,C
123867,NULL,226,C
123930,5,5,B
124009,0,0,A
124132,33,33,B
124203,87,87,B
124293,NULL,98,C
124553,179,179,C
124757,78,78,B
124883,NULL,249,C
124927,NULL,290,C
125029,49,49,C
125076,NULL,198,C
125120,NULL,2,C
125369,NULL,65,B
125371,59,59,B
125515,156,156,B
125554,74,74,B
125659,NULL,277,C
